etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
75     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌabkˈitə# {GOLD: >*} | *#hˌabkˈitə# {GOLD: >*} | *#həbkˈitə# {GOLD: >*} | *#həbcˈitə# | *#həbt͡ʃˈitə# {GOLD: #ɔkˈitə#}
76     | ... | ... | ... | ... | ... | ... | ... | *#ˌɒɡrˈɒ?1̬ɑ# | *#ˌɒɡrˈɒ?1̬ɑ# | *#hˌaɡrˈa?1̬ə# {GOLD: >*} | *#hˌaɡɾˈa?1̬ə# {GOLD: >*} | *#həɡɾˈa?1̬ə# {GOLD: >*} | *#həɡɾˈa?1̬ə# | *#həɡɾˈa?1̬ə# {GOLD: #ɔɡɾˈajə#}
77     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌatˈaːvə# {GOLD: >*} | *#hˌatˈaːvə# {GOLD: >*} | *#hətˈavə# {GOLD: >*} | *#hətˈavə# | *#hətˈavə# {GOLD: #ɔtˈavə#}
78     | ... | ... | ... | ... | ... | ... | ... | *#ˌɒrɒ̃dˈɪjɛ# | *#ˌɒrɒ̃dˈɪjɛ# | *#hˌarãdˈɪj# {GOLD: >*} | *#hˌaɾə̃dˈɪj# {GOLD: >*} | *#hˌaɾədˈɪj# {GOLD: >*} | *#haɾədˈɪj# | *#haɾədˈɪj# {GOLD: #ɔɾəndˈi#}
79     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌabrˈak# {GOLD: >*} | *#hˌabɾˈak# {GOLD: >*} | *#həbɾˈak# {GOLD: >*} | *#həbɾˈak# | *#həbɾˈak# {GOLD: #ɔɾˈɔk#}
80     | ... | ... | ... | ... | ... | ... | ... | *#ˌɒbʊpˈɪnʊkɑ# | *#ˌɒbʊpˈɪnʊkɑ# | *#hˌabpˈɪː̃nkə# {GOLD: #ˌɒpˈɑ̃nkə#} | *#hˌabpˈɪː̃nkə# {GOLD: >*} | *#həbpˈɪnkə# {GOLD: >*} | *#həbpˈɪnkə# | *#həbpˈɪnkə# {GOLD: #ɔpˈəŋɡə#}
81     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌabvˈaːr# {GOLD: >*} | *#hˌabvˈaːɾ# {GOLD: >*} | *#həbvˈaɾ# {GOLD: >*} | *#həbvˈaɾ# | *#həbvˈaɾ# {GOLD: #ɔbˈɔr#}
82     | ... | ... | ... | ... | ... | ... | ... | *#ˌɒblˈɒ̃kʊ# | *#ˌɒblˈɒ̃kʊ# | *#hˌablˈãk# {GOLD: #ˌɒblˠˈɑ̃nk#} | *#hˌablˈə̃k# {GOLD: >*} | *#həblˈək# {GOLD: >*} | *#həblˈək# | *#həblˈək# {GOLD: #ɔblˠˈəŋɡ#}
83     | ... | ... | ... | ... | ... | ... | ... | ... | *#ˈɔkron# | *#hˈɔkrõ# {GOLD: >*} | *#hˈɔkɾõ# {GOLD: >*} | *#hˈɔkɾə# {GOLD: >*} | *#hˈɔkɾə# | *#hˈɔkɾə# {GOLD: #ˈɔkəɾ#}
84     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˈɔjiʃt# {GOLD: >*} | *#hˈɔjiʃt# {GOLD: >*} | *#hˈɔjiʃt# {GOLD: >*} | *#hˈɔjit͡ʃt# | *#hˈɔjit͡ʃt# {GOLD: #ˈɔʃtə#}
85     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌalɔɣˈɛːrɔ# | *#kˌalɔɡˈɛːr# {GOLD: >*} | *#kˌalɔɡˈɛːɾ# {GOLD: >*} | *#kˌaləɡˈɛɾ# {GOLD: >*} | *#kaləɟˈɛɾ# | *#kaləɟˈɛɾ# {GOLD: #kalˠɔɟˈɛɾ#}
86     | ... | ... | ... | ... | *#kˌɑʎendˈɑːrju# | *#kˌɑʎɛndˈɑrju# | *#kəʎəndˈɛrju# | *#kəʎəndˈɛrju# | *#kəʎəndˈɛrju# | *#kəʎə̃ndˈɛːrj# {GOLD: #kˌalˠəndˈuo̯ɾ#} | *#kəʎə̃ndˈɛːɾj# {GOLD: #kˌalˠn̩dˈuo̯ɾ#} | *#kəjəndˈɛɾj# {GOLD: #kˌalˠəndˈua̯ɾ#} | *#kəjəndˈɛɾj# | *#kəjənˈɛɾj# {GOLD: #kalˠnˈɔɾ#}
87     | ... | ... | ... | ... | *#kˌɑlːɑmˈeːtu# | *#kˌɑlːɑmˈetu# | *#kəlːəmˈɛtu# | *#kəlːəmˈɛtu# | *#kəlːəmˈɛtu# | *#kəlːə̃mˈɛt# {GOLD: >*} | *#kəlˠə̃mˈɛt# {GOLD: >*} | *#kəlˠəmˈɛt# {GOLD: >*} | *#kəlˠəmˈɛt# | *#kəlˠəmˈɛt# {GOLD: #kalˠmˈɛt#}
88     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌat͡ʃurˈɛːl# {GOLD: >*} | *#kˌat͡ʃuɾˈɛːl# {GOLD: >*} | *#kˌat͡ʃəɾˈɛl# {GOLD: >*} | *#kat͡ʃəɾˈɛl# | *#kat͡ʃəɾˈɛl# {GOLD: #kat͡ʃurˈɛl#}
89     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌat͡ʃˈuːl# {GOLD: >*} | *#kˌat͡ʃˈuːl# {GOLD: >*} | *#kət͡ʃˈul# {GOLD: >*} | *#kət͡ʃˈul# | *#kət͡ʃˈul# {GOLD: #kat͡ʃˈul#}
90     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌat͡ʃˈubə# {GOLD: >*} | *#kˌat͡ʃˈubə# {GOLD: >*} | *#kət͡ʃˈubə# {GOLD: >*} | *#kət͡ʃˈubə# | *#kət͡ʃˈubə# {GOLD: #kat͡ʃˈubə#}
91     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌat͡ʃˈubɛl# {GOLD: >*} | *#kˌat͡ʃˈubɛl# {GOLD: >*} | *#kət͡ʃˈubɛl# {GOLD: >*} | *#kət͡ʃˈubɛl# | *#kət͡ʃˈubɛl# {GOLD: #kat͡ʃˈubəl#}
92     | ... | ... | ... | ... | *#kʷˌɑsˈilu# | *#kʷˌɑsˈelu# | *#kʷəsˈɛlu# | *#kʷəʃˈɑlu# | *#kʷəʃˈɑlu# | *#kʷəʃˈaːl# {GOLD: >*} | *#kʷəʃˈaːl# {GOLD: >*} | *#kʷəʃˈal# {GOLD: >*} | *#kʷəʃˈal# | *#kʷəʃˈal# {GOLD: #kaʃˈil#}
93     | ... | ... | ... | ... | *#kˌɑstɑnˈettu# | *#kˌɑstɑnˈɛttu# | *#kəstənjˈɛttu# | *#fʃtənjˈɛttu# | *#fʃtənjˈɛttu# | *#fʃtə̃njˈɛtt# {GOLD: >*} | *#fʃtə̃njˈɛtt# {GOLD: >*} | *#fʃtənjˈɛtt# {GOLD: >*} | *#ft͡ʃtənjˈɛtt# | *#ft͡ʃtənjˈɛtt# {GOLD: #kaʃɲˈɛt#}
94     | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌatˈɔːɣɪ# | *#kˌatˈɔːɡ# {GOLD: >*} | *#kˌatˈɔːɡ# {GOLD: >*} | *#kətˈɔɡ# {GOLD: >*} | *#kətˈɔɡ# | *#kətˈɔɡ# {GOLD: #katˈua̯#}
95     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌadˈit# {GOLD: >*} | *#kˌadˈit# {GOLD: >*} | *#kədˈit# {GOLD: >*} | *#kədˈit# | *#kədˈit# {GOLD: #kadˈit#}
96     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌastravˈɪːt͡s# {GOLD: >*} | *#kˌastɾavˈɪːt͡s# {GOLD: >*} | *#kˌastɾəvˈɪt͡s# {GOLD: >*} | *#kastɾəvˈɪt͡s# | *#kastɾəvˈɪt͡s# {GOLD: #kastɾavˈɛt͡s#}
97     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌasnˈɪːt͡s# {GOLD: >*} | *#kˌasnˈɪːt͡s# {GOLD: >*} | *#kəsnˈɪt͡s# {GOLD: >*} | *#kəsnˈɪt͡s# | *#kəsnˈɪt͡s# {GOLD: #kasnˈɛt͡s#}
98     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌalibˈab# {GOLD: >*} | *#kˌalibˈab# {GOLD: >*} | *#kˌaləbˈab# {GOLD: >*} | *#kaləbˈab# | *#kaləbˈab# {GOLD: #kalibˈɔb#}
99     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌalˈibə# {GOLD: >*} | *#kˌalˈibə# {GOLD: >*} | *#kəlˈibə# {GOLD: >*} | *#kəlˈibə# | *#kəlˈibə# {GOLD: #kalˈibə#}
100    | ... | ... | ... | ... | ... | ... | ... | *#kˌɒrwˈɑʎɑ# | *#kˌɒrwˈɑʎɑ# | *#kˌarvˈaːʎə# {GOLD: #kˌɒɾˌɒvˈɛlə#} | *#kˌaɾvˈaːʎə# {GOLD: >*} | *#kəɾvˈajə# {GOLD: >*} | *#kəɾvˈajə# | *#kəɾvˈajə# {GOLD: #kaɾavˈɛlə#}
101    | ... | ... | ... | ... | ... | ... | ... | *#kˌɒrˈɪt͡sɑ# | *#kˌɒrˈɪt͡sɑ# | *#kˌarˈɪːt͡sə# {GOLD: #kˌɒɾˈit͡sə#} | *#kˌaɾˈɪːt͡sə# {GOLD: >*} | *#kəɾˈɪt͡sə# {GOLD: >*} | *#kəɾˈɪt͡sə# | *#kəɾˈɪt͡sə# {GOLD: #kaɾˈit͡sə#}
102    | ... | ... | ... | ... | *#kʷˌɑdrˈiːɡɑ# | *#kʷˌɑdrˈiɡɑ# | *#kʷədrˈiɡɑ# | *#kʷədrˈiɡɑ# | *#kʷədrˈiɡɑ# | *#kʷədrˈiɡə# {GOLD: >*} | *#kʷədɾˈiɡə# {GOLD: >*} | *#kʷədɾˈiɡə# {GOLD: >*} | *#kʷədɾˈiɡə# | *#kʷədɾˈiɡə# {GOLD: #karˈiɡə#}
103    | ... | ... | ... | ... | ... | ... | ... | *#kˌɒrˈɯtɒ# | *#kˌɒrˈɯtɒ# | *#kˌarˈutə# {GOLD: >*} | *#kˌaɾˈutə# {GOLD: >*} | *#kəɾˈutə# {GOLD: >*} | *#kəɾˈutə# | *#kəɾˈutə# {GOLD: #karˈutə#}
104    | ... | ... | ... | ... | ... | ... | ... | *#kˌɒrˈupʊ# | *#kˌɒrˈupʊ# | *#kˌarˈup# {GOLD: >*} | *#kˌaɾˈup# {GOLD: >*} | *#kəɾˈup# {GOLD: >*} | *#kəɾˈup# | *#kəɾˈup# {GOLD: #karˈup#}
105    | ... | ... | ... | ... | *#kˌɑppˈelɑ# | *#kˌɑppˈɛlɑ# | *#kəppjˈɛlɑ# | *#kəppjˈɛlɑ# | *#kəppjˈɛlɑ# | *#kəppjˈɛːlə# {GOLD: >*} | *#kəppjˈɛːlə# {GOLD: >*} | *#kəppjˈɛlə# {GOLD: >*} | *#kəppjˈɛlə# | *#kəppjˈɛlə# {GOLD: #kapˈɛlə#}
106    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌapˈit# {GOLD: >*} | *#kˌapˈit# {GOLD: >*} | *#kəpˈit# {GOLD: >*} | *#kəpˈit# | *#kəpˈit# {GOLD: #kapˈit#}
107    | ... | ... | ... | ... | *#kˌɑːpˈoːne# | *#kˌɑpˈonɛ# | *#kəpˈye̯nɛ# | *#kəpˈye̯nɛ# | *#kəpˈye̯nɛ# | *#kəpˈye̯n# {GOLD: #kapˈuo̯#} | *#kəpˈye̯n# {GOLD: >*} | *#kəpˈye̯n# {GOLD: >*} | *#kəpˈye̯n# | *#kəpˈye̯n# {GOLD: #kapˈua̯#}
108    | ... | ... | ... | ... | *#kˌɑpitˈiːnɑ# | *#kˌɑpetˈinɑ# | *#kəpətˈinɑ# | *#kəpətˈinɑ# | *#kəpətˈinɑ# | *#kəpətˈĩːnə# {GOLD: >*} | *#kəpətˈĩːɾə# {GOLD: >*} | *#kəpətˈiɾə# {GOLD: >*} | *#kəpətˈiɾə# | *#kəpətˈiɾə# {GOLD: #kaptˈinə#}
109    | ... | ... | ... | ... | *#kˌɑprjˈolːu# | *#kˌɑprjˈolːu# | *#kəprjˈuo̯lːu# | *#kəprjˈuo̯lːu# | *#kəprjˈuo̯lːu# | *#kəprjˈuo̯lː# {GOLD: #kapɾˈuo̯lˠ#} | *#kəpɾjˈua̯lˠ# {GOLD: >*} | *#kəpɾjˈua̯lˠ# {GOLD: >*} | *#kəpɾjˈua̯lˠ# | *#kəpɾjˈua̯lˠ# {GOLD: #kapɾˈua̯lˠ#}
110    | ... | ... | ... | ... | *#kˌɑpissˈɑːtɑ# | *#kˌɑpessˈɑtɑ# | *#kəpəssˈɑtɑ# | *#kəpəʃʃˈɑtɑ# | *#kəpəʃʃˈɑtɑ# | *#kəpəʃʃˈatə# {GOLD: >*} | *#kəpəʃʃˈatə# {GOLD: >*} | *#kəpəʃʃˈatə# {GOLD: >*} | *#kəpət͡ʃʃˈatə# | *#kəpət͡ʃʃˈatə# {GOLD: #kafʃˈatə#}
111    | ... | ... | ... | ... | *#kˌɑpissˈoɲoː# | *#kˌɑpessˈoɲø# | *#kəpəssˈɔɲɛ# | *#kəpəʃʃˈɔɲɛ# | *#kəpəʃʃˈɔɲɛ# | *#kəpəʃʃˈɔ̃ːɲ# {GOLD: >*} | *#kəpəʃʃˈɔ̃ːɲ# {GOLD: >*} | *#kəpəʃʃˈɔɲ# {GOLD: >*} | *#kəpət͡ʃʃˈɔɲ# | *#kəpət͡ʃʃˈɔɲ# {GOLD: #kafʃˈɔj#}
112    | ... | ... | ... | ... | ... | ... | ... | *#kˌɑmɛnˈit͡sɑ# | *#kˌɑmɛnˈit͡sɑ# | *#kˌãmɛ̃nˈiːt͡sə# {GOLD: >*} | *#kˌə̃mbɛ̃ɾˈiːt͡sə# {GOLD: >*} | *#kˌəmbəɾˈit͡sə# {GOLD: >*} | *#kəmbəɾˈit͡sə# | *#kəmbəɾˈit͡sə# {GOLD: #kamˈit͡sə#}
113    | ... | ... | ... | ... | *#kˈɑlːəmu# | *#kˈɑlːmu# | *#kˈɑlːmu# | *#kˈɑlːmu# | *#kˈɑlːmu# | *#kˈaːlːmb# {GOLD: >*} | *#kˈaːlˠmb# {GOLD: >*} | *#kˈalˠmb# {GOLD: #kˈalˠəm#} | *#kˈalˠmb# | *#kˈalˠmb# {GOLD: #kˈalˠm#}
114    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#tkˈaːt͡ʃ# {GOLD: >*} | *#tkˈaːt͡ʃ# {GOLD: >*} | *#tkˈat͡ʃ# {GOLD: >*} | *#tkˈat͡ʃ# | *#tkˈat͡ʃ# {GOLD: #kˈat͡ʃ#}
115    | ... | ... | ... | ... | *#kˈɑnːɑ# | *#kˈɑnːɑ# | *#kˈɑnːɑ# | *#kˈɑnːɑ# | *#kˈɑnːɑ# | *#kˈãːnːə# {GOLD: >*} | *#kˈəːnə# {GOLD: >*} | *#kˈənə# {GOLD: >*} | *#kˈənə# | *#kˈənə# {GOLD: #kˈanə#}
116    | ... | ... | ... | ... | *#kˈɑntʰəru# | *#kˈɑntru# | *#kˈɑntru# | *#kˈɑndru# | *#kˈɑndru# | *#kˈãːndr# {GOLD: >*} | *#kˈəːndɾ# {GOLD: >*} | *#kˈəndɾ# {GOLD: >*} | *#kˈəndɾ# | *#kˈənɾ# {GOLD: #kˈandəɾ#}
117    | ... | ... | ... | *#kˈɑntʰɑron# | *#kˈɑntʰəro# | *#kˈɑntro# | *#kˈɑntrɔ# | *#kˈɑndrɔ# | *#kˈɑndrɔ# | *#kˈãːndr# {GOLD: #kˈãntəɾə#} | *#kˈəːndɾ# {GOLD: >*} | *#kˈəndɾ# {GOLD: >*} | *#kˈəndɾ# | *#kˈənɾ# {GOLD: #kˈandəɾ#}
118    | ... | ... | ... | *#kˈɑltʰɑ# | *#kˈɑltʰɑ# | *#kˈɑltɑ# | *#kˈɑltɑ# | *#kˈɑltɑ# | *#kˈɑltɑ# | *#kˈaːltə# {GOLD: >*} | *#kˈaːltə# {GOLD: >*} | *#kˈaltə# {GOLD: >*} | *#kˈaltə# | *#kˈaltə# {GOLD: #kˈaltə#}
119    | ... | ... | ... | *#kˈɑltʰiːnɑ# | *#kˈɑltʰənɑ# | *#kˈɑltnɑ# | *#kˈɑltnɑ# | *#kˈɑltnɑ# | *#kˈɑltnɑ# | *#kˈaːltnə# {GOLD: #kˈaltə̃ɾ̃ə#} | *#kˈaːltnə# {GOLD: >*} | *#kˈaltnə# {GOLD: >*} | *#kˈaltnə# | *#kˈaltnə# {GOLD: #kˈaltəɾ#}
120    | ... | ... | ... | ... | *#kʰˈɑrtɑ# | *#kˈɑrtɑ# | *#kˈɑrtɑ# | *#kˈɑrtɑ# | *#kˈɑrtɑ# | *#kˈaːrtə# {GOLD: >*} | *#kˈaːɾtə# {GOLD: >*} | *#kˈaɾtə# {GOLD: >*} | *#kˈaɾtə# | *#kˈaɾtə# {GOLD: #kˈaɾtə#}
121    | ... | ... | ... | ... | *#kʷˈɑːrtɑ# | *#kʷˈɑrtɑ# | *#kʷˈɑrtɑ# | *#kʷˈɑrtɑ# | *#kʷˈɑrtɑ# | *#kʷˈaːrtə# {GOLD: >*} | *#kʷˈaːɾtə# {GOLD: >*} | *#kʷˈaɾtə# {GOLD: >*} | *#kʷˈaɾtə# | *#kʷˈaɾtə# {GOLD: #kˈaɾtə#}
122    | ... | ... | ... | ... | *#kˈɑrːɑ# | *#kˈɑrːɑ# | *#kˈɑrːɑ# | *#kˈɑrːɑ# | *#kˈɑrːɑ# | *#kˈaːrːə# {GOLD: >*} | *#kˈaːrə# {GOLD: >*} | *#kˈarə# {GOLD: >*} | *#kˈarə# | *#kˈarə# {GOLD: #kˈarə#}
123    | ... | ... | ... | ... | ... | ... | ... | *#kˈaɸka# | *#kˈaɸka# | *#kˈafkə# {GOLD: >*} | *#kˈafkə# {GOLD: >*} | *#kˈafkə# {GOLD: >*} | *#kˈafkə# | *#kˈafkə# {GOLD: #kˈafkə#}
124    | ... | ... | ... | ... | ... | ... | ... | *#kˈaɸʃa# | *#kˈaɸʃa# | *#kˈafʃə# {GOLD: >*} | *#kˈafʃə# {GOLD: >*} | *#kˈafʃə# {GOLD: >*} | *#kˈafʃə# | *#kˈafʃə# {GOLD: #kˈafʃə#}
125    | ... | ... | ... | *#kˌɑpnˈon# | *#kˌɑpnˈon# | *#kˌɑpnˈon# | *#kəpnˈuo̯n# | *#kəpnˈuo̯n# | *#kəpnˈuo̯n# | *#kəpnˈuo̯n# {GOLD: >*} | *#kəpnˈua̯n# {GOLD: >*} | *#kəpnˈua̯n# {GOLD: >*} | *#kəpnˈua̯n# | *#kəpnˈua̯n# {GOLD: #kˈam#}
126    | ... | ... | ... | ... | *#ˌekku# | *#ˌɛkku# | *#kkə# | *#kkə# | *#kkə# | *#kk# {GOLD: >*} | *#kk# {GOLD: >*} | *#kk# {GOLD: >*} | *#kk# | *#kk# {GOLD: #kə#}
127    | ... | ... | ... | ... | *#kˌɑntikˈelu# | *#kˌɑntekˈɛlu# | *#kəntəkjˈɛlu# | *#kəntəcjˈɛlu# | *#kəntəcjˈɛlu# | *#kə̃ntəcjˈɛːl# {GOLD: #kˌãntcˈɛl#} | *#kə̃ntəcjˈɛːl# {GOLD: >*} | *#kəntəcjˈɛl# {GOLD: >*} | *#kəntəcjˈɛl# | *#kəntət͡ʃjˈɛl# {GOLD: #kəɲɟˈɛl#}
128    | ... | ... | ... | ... | *#kˌoːsˈiʎu# | *#kˌøsˈeʎu# | *#kəsˈiʎu# | *#fʃˈiʎu# | *#fʃˈiʎu# | *#fʃˈiːʎ# {GOLD: >*} | *#fʃˈiːʎ# {GOLD: >*} | *#fʃˈij# {GOLD: >*} | *#fʃˈij# | *#fʃˈij# {GOLD: #kəʃˈilˠ#}
129    | ... | ... | ... | ... | *#kˌɑwsˈuːrɑ# | *#kˌɑwsˈyrɑ# | *#kəsˈyrɑ# | *#fʃˈyrɑ# | *#fʃˈyrɑ# | *#fʃˈyːrə# {GOLD: >*} | *#fʃˈyːɾə# {GOLD: >*} | *#fʃˈyɾə# {GOLD: >*} | *#fʃˈyɾə# | *#fʃˈyɾə# {GOLD: #kəʃˈyɾə#}
130    | ... | ... | ... | ... | *#kˌɑstˈelɑ# | *#kˌɑstˈɛlɑ# | *#kəstjˈɛlɑ# | *#fʃ?1ˈɛlɑ# | *#fʃ?1ˈɛlɑ# | *#fʃ?1ˈɛːlə# {GOLD: >*} | *#fʃ?1ˈɛːlə# {GOLD: >*} | *#fʃ?1ˈɛlə# {GOLD: >*} | *#ft͡ʃ?1ˈɛlə# | *#ft͡ʃ?1ˈɛlə# {GOLD: #kəʃtjˈɛlˠə#}
131    | ... | ... | ... | ... | *#kˌɑstˈelu# | *#kˌɑstˈɛlu# | *#kəstjˈɛlu# | *#fʃ?1ˈɛlu# | *#fʃ?1ˈɛlu# | *#fʃ?1ˈɛːl# {GOLD: >*} | *#fʃ?1ˈɛːl# {GOLD: >*} | *#fʃ?1ˈɛl# {GOLD: #kəʃtjˈɛl#} | *#ft͡ʃ?1ˈɛl# | *#ft͡ʃ?1ˈɛl# {GOLD: ...}
132    | ... | ... | ... | ... | *#kˌɑnːˈɑːtɑ# | *#kˌɑnːˈɑtɑ# | *#kənːˈɑtɑ# | *#kənːˈɑtɑ# | *#kənːˈɑtɑ# | *#kə̃nːˈatə# {GOLD: >*} | *#kə̃nˈatə# {GOLD: >*} | *#kənˈatə# {GOLD: >*} | *#kənˈatə# | *#kənˈatə# {GOLD: #kənˈatə#}
133    | ... | ... | ... | ... | *#kˌɑnːˈeːtu# | *#kˌɑnːˈetu# | *#kənːˈɛtu# | *#kənːˈɛtu# | *#kənːˈɛtu# | *#kə̃nːˈɛt# {GOLD: >*} | *#kə̃nˈɛt# {GOLD: >*} | *#kənˈɛt# {GOLD: >*} | *#kənˈɛt# | *#kənˈɛt# {GOLD: #kənˈɛt#}
134    | ... | ... | ... | ... | *#kˌɑndˈeːlːɑ# | *#kˌɑndˈelːɑ# | *#kəndˈɛlːɑ# | *#kəndˈɛlːɑ# | *#kəndˈɛlːɑ# | *#kə̃ndˈɛːlːə# {GOLD: >*} | *#kə̃ndˈɛːlˠə# {GOLD: >*} | *#kəndˈɛlˠə# {GOLD: >*} | *#kəndˈɛlˠə# | *#kənˈɛlˠə# {GOLD: #kəndˈɛlˠə#}
135    | ... | ... | ... | ... | *#kˌɑntˈɑːɲoː# | *#kˌɑntˈɑɲø# | *#kəntˈɑɲɛ# | *#kəndˈɑɲɛ# | *#kəndˈɑɲɛ# | *#kə̃ndˈãːɲ# {GOLD: >*} | *#kə̃ndˈəːɲ# {GOLD: >*} | *#kəndˈəɲ# {GOLD: >*} | *#kəndˈəɲ# | *#kənˈəɲ# {GOLD: #kəndˈɔj#}
136    | ... | ... | ... | ... | *#klˌɑwsˈuːrɑ# | *#klˌɑwsˈyrɑ# | *#kləsˈyrɑ# | *#kləʃˈyrɑ# | *#kləʃˈyrɑ# | *#kʎəʃˈyːrə# {GOLD: #kl̩t͡ʃˈyɾə#} | *#kʎəʃˈyːɾə# {GOLD: >*} | *#kəʃˈyɾə# {GOLD: >*} | *#kəʃˈyɾə# | *#kəʃˈyɾə# {GOLD: #kəlt͡ʃˈyɾə#}
137    | ... | ... | ... | ... | *#kˌirkˈɑːɲoː# | *#kˌerkˈɑɲø# | *#kərkˈɑɲɛ# | *#kərkˈɑɲɛ# | *#kərkˈɑɲɛ# | *#kərkˈãːɲ# {GOLD: >*} | *#kəɾkˈəːɲ# {GOLD: >*} | *#kəɾkˈəɲ# {GOLD: >*} | *#kəɾkˈəɲ# | *#kəɾkˈəɲ# {GOLD: #kəɾkˈɔj#}
138    | ... | ... | ... | ... | *#kˌirkˈelɑ# | *#kˌerkˈɛlɑ# | *#kərkjˈɛlɑ# | *#kərcjˈɛlɑ# | *#kərcjˈɛlɑ# | *#kərcjˈɛːlə# {GOLD: >*} | *#kəɾcjˈɛːlə# {GOLD: >*} | *#kəɾcjˈɛlə# {GOLD: >*} | *#kəɾcjˈɛlə# | *#kəɾt͡ʃjˈɛlə# {GOLD: #kəɾcˈɛlə#}
139    | ... | ... | ... | ... | ... | *#krˌistinˌɑtˈɑlɛ# | *#krəstəntˈɛlɛ# | *#krəʃtəndˈɛlɛ# | *#krəʃtəndˈɛlɛ# | *#krəʃtə̃ndˈɛːl# {GOLD: >*} | *#kɾəʃtə̃ndˈɛːl# {GOLD: >*} | *#kɾəʃtəndˈɛl# {GOLD: >*} | *#kɾət͡ʃtəndˈɛl# | *#kɾət͡ʃtənˈɛl# {GOLD: #kəɾʃəndˈɛl#}
140    | ... | ... | ... | ... | ... | *#krˌisteˈɑnɑ# | *#krəstəˈɑnɑ# | *#krəʃtəˈɑnɑ# | *#krəʃtəˈɑnɑ# | *#krəʃtˈãːnə# {GOLD: #kɾ̩ʃtˈɛ̃ɾ̃ə#} | *#kɾəʃtˈəːɾə# {GOLD: >*} | *#kɾəʃtˈəɾə# {GOLD: >*} | *#kɾət͡ʃtˈəɾə# | *#kɾət͡ʃtˈəɾə# {GOLD: #kəɾʃtˈɛɾə#}
141    | ... | ... | ... | ... | ... | ... | ... | *#krˌi?2ˈɑtɪ# | *#krˌi?2ˈɑtɪ# | *#krˌi?2ˈat# {GOLD: >*} | *#kɾˌi?2ˈat# {GOLD: >*} | *#kɾə?2ˈat# {GOLD: >*} | *#kɾə?2ˈat# | *#kɾə?2ˈat# {GOLD: #kəɾt͡sˈat#}
142    | ... | ... | ... | ... | ... | ... | ... | *#kˌɒr?2ˈunə# | *#kˌɒr?2ˈunə# | *#kˌar?2ˈũː# {GOLD: #kˌɾ̩t͡sˈũ#} | *#kˌaɾ?2ˈũː# {GOLD: >*} | *#kəɾ?2ˈu# {GOLD: >*} | *#kəɾ?2ˈu# | *#kəɾ?2ˈu# {GOLD: #kəɾt͡sˈu#}
143    | ... | ... | ... | ... | *#kˌɑrpˈutjoː# | *#kˌɑrpˈutjø# | *#kərpˈytjɛ# | *#kərpˈy?1ɛ# | *#kərpˈy?1ɛ# | *#kərpˈy?1# {GOLD: >*} | *#kəɾpˈy?1# {GOLD: >*} | *#kəɾpˈy?1# {GOLD: >*} | *#kəɾpˈy?1# | *#kəɾpˈy?1# {GOLD: #kəɾpˈus#}
144    | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#kˌʊrbˈaːt͡ʃ# {GOLD: >*} | *#kˌʊɾbˈaːt͡ʃ# {GOLD: >*} | *#kəɾbˈat͡ʃ# {GOLD: >*} | *#kəɾbˈat͡ʃ# | *#kəɾbˈat͡ʃ# {GOLD: #kəɾbˈat͡ʃ#}
145    | ... | ... | ... | ... | ... | ... | *#kərnˈutɑ# | *#kərnˈutɑ# | *#kərnˈutɑ# | *#kərnˈutə# {GOLD: >*} | *#kərˈutə# {GOLD: >*} | *#kərˈutə# {GOLD: >*} | *#kərˈutə# | *#kərˈutə# {GOLD: #kərˈutə#}
146    | ... | ... | ... | ... | ... | ... | ... | *#kˌɑpˈuʎɑ# | *#kˌɑpˈuʎɑ# | *#kˌapˈuːʎə# {GOLD: >*} | *#kˌapˈuːʎə# {GOLD: >*} | *#kəpˈujə# {GOLD: >*} | *#kəpˈujə# | *#kəpˈujə# {GOLD: #kəpˈujə#}
